,French,English
0,partie,part
1,histoire,history
2,chercher,search
3,seulement,only
4,police,police
5,pensais,thought
6,aide,help
7,demande,request
8,mois,month
9,frère,brother
10,laisser,let
11,car,because
12,mettre,to put
13,aucun,no
14,laisse,leash
15,eux,them
16,ville,city
17,parlé,speak
18,arrivé,come
19,devrait,should
20,bébé,baby
21,longtemps,long time
22,heures,hours
23,pendant,while
24,revoir,meet again
25,aucune,any
26,place,square
27,parle,speak
28,compris,understood
29,savais,knew
30,étaient,were
31,attention,Warning
32,voici,here is
33,pourrais,could
34,affaire,case
35,donner,give
36,type,type
37,leurs,their
38,donné,given
39,train,train
40,corps,body
41,endroit,place
42,écoute,listen
43,dont,whose
44,trouve,find
45,premier,first
46,perdu,lost
47,main,hand
48,première,first
49,côté,side
50,pouvoir,power
51,sois,be
52,tiens,here
53,tellement,so much
54,enfant,child
55,point,point
56,venu,came
57,suite,after
58,venez,come
59,minutes,minutes
60,demandé,request
61,chambre,bedroom
62,belle,beautiful
63,droit,law
64,aimerais,would like to
65,aujourd'hui,today
66,mari,husband
67,enfin,finally
68,espère,hope
69,eau,water
70,attendez,Wait
71,parti,left
72,nouvelle,new
73,boulot,job
74,arrêter,Stop
75,dirait,would say
76,terre,Earth
77,compte,account
78,donne,given
79,loin,far
80,fin,end
81,croire,believe
82,plutôt,rather
83,aura,will have
84,filles,girls
85,jouer,to play
86,bureau,office
